Question,All Answers,Correct Answer,source_path,source_type
Which pathogen is a common cause of nosocomial (healthcare-associated) neonatal bacterial infections?,A. Coagulase-negative staphylococci B. Group B Streptococcus C. Listeria monocytogenes D. Streptococcus pneumoniae E. Neisseria meningitidis F. Haemophilus influenzae G. Bordetella pertussis H. Corynebacterium diphtheriae,A. Coagulase-negative staphylococci,data/Dataset_Eval/PubMed_Pdfs/223.csv,pdf
"Which congenital infection is most associated with severe microcephaly, subcortical calcifications, and congenital contractures?",A. Congenital toxoplasmosis B. Congenital rubella C. Congenital CMV D. Congenital Zika syndrome E. Congenital syphilis F. Congenital herpes G. Congenital varicella H. Congenital parvovirus,D. Congenital Zika syndrome,data/Dataset_Eval/PubMed_Pdfs/224.csv,pdf
Hearing loss is most commonly associated with which infection than with other infections in neonates according to this document?,A. Congenital toxoplasmosis B. Congenital HIV C. Congenital CMV D. Congenital Zika syndrome E. Congenital syphilis F. Congenital herpes G. Congenital varicella H. Congenital parvovirus,C. Congenital CMV,data/Dataset_Eval/PubMed_Pdfs/225.csv,pdf
Which virus has been linked to both congenital infections and Guillain-Barré syndrome in adults?,A. Herpes simplex virus B. Cytomegalovirus C. Zika virus D. Rubella virus E. Toxoplasma gondii F. Enterovirus G. Parvovirus B19 H. Rotavirus,C. Zika virus,data/Dataset_Eval/PubMed_Pdfs/226.csv,pdf
Which congenital infection is most associated with lenticulostriate vasculopathy observed on neuroimaging?,A. Congenital cytomegalovirus (CMV) infection B. Congenital rubella syndrome C. Congenital toxoplasmosis D. Congenital Zika syndrome E. Congenital herpes simplex virus (HSV) infection F. Congenital syphilis G. Congenital varicella H. Congenital enterovirus infection,A. Congenital cytomegalovirus (CMV) infection,data/Dataset_Eval/PubMed_Pdfs/227.csv,pdf
Which clinical feature is part of the classic triad of cystic fibrosis (CF) manifestations?,A. Recurrent sinus and pulmonary infections B. Polycythemia C. Cardiac arrhythmias D. Hypertension E. Hepatomegaly F. Dermatitis G. Renal insufficiency H. Splenomegaly,A. Recurrent sinus and pulmonary infections,data/Dataset_Eval/PubMed_Pdfs/228.csv,pdf
Which respiratory pathogen is commonly surveilled in cystic fibrosis patients due to its significant impact on lung disease?,A. Streptococcus pneumoniae B. Haemophilus influenzae C. Leptospira interrogans D. Mycobacterium tuberculosis E. Bordetella pertussis F. Legionella pneumophila G. Pseudomonas aeruginosa H. Klebsiella pneumoniae,G. Pseudomonas aeruginosa,data/Dataset_Eval/PubMed_Pdfs/229.csv,pdf
What electrolyte disturbance complication is associated with commonly in individuals with cystic fibrosis?,A. Hyperkalemia B. Hypoglycemia C. Hyponatremia D. Hypercalcemia E. Hypermagnesemia F. Hypophosphatemia G. Hyperbilirubinemia H. Hyperchloremia,C. Hyponatremia,data/Dataset_Eval/PubMed_Pdfs/230.csv,pdf
Which chronic pulmonary complication is commonly assocaited with cystic fibrosis?,A. Bronchiectasis B. Pulmonary embolism C. Interstitial lung disease D. Pulmonary fibrosis E. Asthma F. Chronic obstructive pulmonary disease (COPD) G. Sarcoidosis H. Pneumoconiosis,A. Bronchiectasis,data/Dataset_Eval/PubMed_Pdfs/231.csv,pdf
What is the primary function of the cystic fibrosis transmembrane conductance regulator (CFTR) protein that is defective in cystic fibrosis?,A. Regulation of chloride and bicarbonate ion transport across epithelial cells B. Transport of glucose into cells C. Synthesis of bile acids D. Breakdown of fatty acids E. Production of surfactant in the lungs F. Metabolism of bilirubin G. Synthesis of digestive enzymes H. Regulation of calcium ion concentration in muscles,A. Regulation of chloride and bicarbonate ion transport across epithelial cells,data/Dataset_Eval/PubMed_Pdfs/232.csv,pdf
Which type of mutation in the ystic fibrosis transmembrane conductance regulator (CFTR) gene is most commonly associated with cystic fibrosis?,A. Missense mutation B. Nonsense mutation C. Frameshift mutation D. Splicing mutation E. Deletion mutation F. Duplication mutation G. Inversion mutation H. Silent mutation,E. Deletion mutation,data/Dataset_Eval/PubMed_Pdfs/233.csv,pdf
What is the typical first-line treatment for juveniale idiopathic arthritis (JIA) according to the step-up strategy?,A. Methotrexate B. NSAIDs C. Biologic DMARDs D. Systemic glucocorticoids E. Intra-articular corticosteroid injections F. JAK inhibitors G. Leflunomide H. Thalidomide,B. NSAIDs,data/Dataset_Eval/PubMed_Pdfs/234.csv,pdf
What is the Juvenile idiopathic arthritis (JIA) equivalent to Adult-onset Still's disease?,A. Systemic JIA B. Oligoarticular JIA C. Psoriatic JIA D. Enthesitis-related arthritis (ERA) E. Polyarticular JIA rheumatoid factor (RF)-negative F. Undifferentiated arthritis G. Polyarticular JIA RF-positive ,A. Systemic JIA,data/Dataset_Eval/PubMed_Pdfs/235.csv,pdf
Which genetic loci outside the HLA region have been associated with Juvenile idiopathic arthritis (JIA) susceptibility?,"A. PTPN22, STAT4, and PTPN2 B. BRCA1, BRCA2, and TP53 C. CFTR, MYH7, and FBN1 D. HBB, HBA1, and G6PD E. APC, MSH2, and MLH1 F. KRAS, NRAS, and BRAF G. EGFR, ALK, and ROS1 H. TCF4, CDH1, and CTNNB1","A. PTPN22, STAT4, and SLC11A1",data/Dataset_Eval/PubMed_Pdfs/236.csv,pdf
Which genetic marker is associated with a higher risk of developing rheumatoid factor-positive polyarthritis in JIA?,A. HLA-DRB1*04 B. HLA-DRB1*08 C. HLA-DRB1*11 D. HLA-B27 E. HLA-A2 F. HLA-Cw6 G. HLA-DQ8 H. HLA-DP4,A. HLA-DRB1*04,data/Dataset_Eval/PubMed_Pdfs/237.csv,pdf
What is the most feared complication of Kawasaki disease in untreated children?,A. Coronary artery abnormalities B. Pulmonary nodules C. Peripheral gangrene D. Valvular regurgitation E. Pleural effusion F. Hepatitis G. Aseptic meningitis H. Urethritis,A. Coronary artery abnormalities,data/Dataset_Eval/PubMed_Pdfs/238.csv,pdf
What is the primary treatment for Kawasaki disease within the first 10 days of onset?,A. High-dose aspirin B. Low-dose aspirin C. Corticosteroids D. Tumor necrosis factor (TNF) inhibitors E. Intravenous immunoglobulin (IVIG) F. Methotrexate G. Anakinra H. Cyclosporine,E. Intravenous immunoglobulin (IVIG),data/Dataset_Eval/PubMed_Pdfs/239.csv,pdf
Which clinical manifestation is NOT included in the diagnostic criteria for classic Kawasaki disease?,A. Mucosal changes B. Conjunctivitis C. Polymorphous rash D. Extremity changes E. Lymphadenopathy F. Pulmonary nodules G. Strawberry tongue H. Periungual desquamation,F. Pulmonary nodules,data/Dataset_Eval/PubMed_Pdfs/240.csv,pdf
What genetic marker has been identified in family linkage and genome association studies related to Kawasaki disease susceptibility?,A. CASP3 B. BRCA1 C. HLA-B27 D. CFTR E. KRAS F. EGFR G. TCF4 H. TP53,A. CASP3,data/Dataset_Eval/PubMed_Pdfs/241.csv,pdf
What is the recommended echocardiography surveillance schedule for Kawasaki disease according to this document?,"A. At diagnosis, 1-2 weeks after diagnosis, and then again 6-8 weeks later B. At diagnosis, 2-4 weeks after diagnosis, and then again 8-10 weeks later C. At diagnosis, 1 month after diagnosis, and then again 3 months later D. At diagnosis, 2 weeks after diagnosis, and then again 4 weeks later E. At diagnosis, 3 weeks after diagnosis, and then again 6 weeks later F. At diagnosis, 1 week after diagnosis, and then again 2 weeks later G. At diagnosis, 4 weeks after diagnosis, and then again 8 weeks later H. At diagnosis, 2 weeks after diagnosis, and then again 6 weeks later","A. At diagnosis, 1-2 weeks after diagnosis, and then again 6-8 weeks later",data/Dataset_Eval/PubMed_Pdfs/242.csv,pdf
Which therapeutic agent is commonly added to standard treatment in high-risk Kawasaki disease patients refractory to IVIG?,A. Prednisolone B. Methotrexate C. Cyclosporine D. Anakinra E. Etanercept F. Infliximab G. Ulinastatin H. Plasma exchange,A. Prednisolone,data/Dataset_Eval/PubMed_Pdfs/243.csv,pdf
Which parameter is theoretically independent of blood pressure and used to evaluate arterial stiffness in Kawasaki disease patients?,A. Pulse wave velocity (PWV) B. Cardio-ankle vascular index (CAVI) C. Carotid intima-media thickness (cIMT) D. Percentage change in flow-mediated dilatation (%FMD) E. Nitroglycerine mediated dilatation (%NMD) F. Peripheral artery tonometry (PAT) G. Brachial-ankle PWV H. Ankle-brachial index (ABI),B. Cardio-ankle vascular index (CAVI),data/Dataset_Eval/PubMed_Pdfs/244.csv,pdf
Which gene is commonly mutated in steroid-resistant nephrotic syndrome (SRNS) and encodes a protein essential for the slit membrane of podocytes?,A. NPHS1 B. BRCA1 C. CFTR D. HLA-B27 E. TP53 F. KRAS G. EGFR H. TCF4,A. NPHS1,data/Dataset_Eval/PubMed_Pdfs/245.csv,pdf
What is the typical histopathological finding in patients with steroid-resistant nephrotic syndrome (SRNS) who do not respond to steroid therapy?,A. Minimal change disease (MCD) B. Focal segmental glomerulosclerosis (FSGS) C. Membranous nephropathy D. IgA nephropathy E. Diabetic nephropathy F. Lupus nephritis G. Amyloidosis H. Alport syndrome,B. Focal segmental glomerulosclerosis (FSGS),data/Dataset_Eval/PubMed_Pdfs/246.csv,pdf
What is the primary treatment approach for patients with non-genetic steroid-resistant nephrotic syndrome (SRNS)?,A. Methotrexate B. NSAIDs C. Cyclophosphamide D. Calcineurin inhibitors (cyclosporine and tacrolimus) E. Intravenous immunoglobulin (IVIG) F. Plasma exchange G. Rituximab H. Thalidomide,D. Calcineurin inhibitors (cyclosporine and tacrolimus),data/Dataset_Eval/PubMed_Pdfs/247.csv,pdf
"Which protein does the NPHS1 gene encode, which is crucial for the integrity of the slit diaphragm in the kidney?",A. Nephrin B. Podocin C. Alpha-actinin-4 D. Laminin subunit beta-2 E. Wilms tumor 1 F. Phospholipase C epsilon-1 G. Transient receptor potential cation channel 6 H. Coenzyme Q2,A. Nephrin,data/Dataset_Eval/PubMed_Pdfs/248.csv,pdf
Which drug is used as a maintenance therapy to prevent relapse in pediatric patients with steroid-resistant nephrotic syndrome (SRNS) who have achieved full remission on calcineurin inhibitor therapy for at least 12 months according to this document?,A. Methotrexate B. Mycophenolate mofetil C. Cyclophosphamide D. Rituximab E. Thalidomide F. Azathioprine G. IVIG H. Tacrolimus,B. Mycophenolate mofetil,data/Dataset_Eval/PubMed_Pdfs/249.csv,pdf
What is the recommended first-line non-immunosuppressive treatment in children with steroid-resistant nephrotic syndrome (SRNS) to decrease intraglomerular pressure and proteinuria?,A. Angiotensin-converting enzyme inhibitors (ACEi) B. Nonsteroidal anti-inflammatory drugs (NSAIDs) C. Intravenous immunoglobulin (IVIG) D. Plasma exchange E. Cyclophosphamide F. Thalidomide G. Methotrexate H. Tacrolimus,A. Angiotensin-converting enzyme inhibitors (ACEi),data/Dataset_Eval/PubMed_Pdfs/250.csv,pdf
What is the current staging system used worldwide for neuroblastoma?,A. TNM Staging System B. INRGSS C. AJCC Staging System D. FIGO Staging System E. RECIST Criteria F. NCCN Guidelines G. WHO Classification H. St. Jude Staging System,B. INRGSS,data/Dataset_Eval/PubMed_Pdfs/251.csv,pdf
Which of the following is NOT a standard agent used in the six-drug induction therapy for high-risk neuroblastoma?,A. Topotecan B. Cyclophosphamide C. Cisplatin D. Methotrexate E. Etoposide F. Doxorubicin G. Vincristine H. None of the above,D. Methotrexate,data/Dataset_Eval/PubMed_Pdfs/252.csv,pdf
Which phase III trial is currently open to enrollment and examining the addition of 131I-MIBG and crizotinib into induction regimens?,A. ANBL12P1 B. ANBL0032 C. ANBL1531 D. ANBL09P1 E. COG3891 F. SIOPEN HR-NBL1 G. HR-NBL1.5 H. ANBL0532,C. ANBL1531,data/Dataset_Eval/PubMed_Pdfs/253.csv,pdf
Which imaging-defined risk factors (IDRFs) are indicative of surgical risk for neuroblastoma?,A. Tumor encasing the carotid artery B. Tumor compressing the trachea C. Tumor invading adjacent organs D. Tumor crossing the midline E. Tumor extending into the spinal canal F. Tumor encasing the aorta G. Tumor invading the kidney H. All of the above,H. All of the above,data/Dataset_Eval/PubMed_Pdfs/254.csv,pdf
Which gene is commonly amplified in neuroblastoma and is associated with a poor prognosis?,A. BRCA1 B. EGFR C. ALK D. MYCN E. TP53 F. KRAS G. NRAS H. PTEN,D. MYCN,data/Dataset_Eval/PubMed_Pdfs/255.csv,pdf
What imaging technique is now required for staging neuroblastoma and determining eligibility for potential precision therapy?,A. PET/CT B. MRI C. CT scan D. Ultrasound E. MIBG scintigraphy F. SPECT/CT G. Bone scan H. Angiography,E. MIBG scintigraphy,data/Dataset_Eval/PubMed_Pdfs/256.csv,pdf
Which of the following imaging modalities is considered superior for evaluating spinal involvement in neuroblastoma?,A. CT B. MRI C. Ultrasound D. PET/CT E. SPECT F. Bone scan G. X-ray H. Angiography,B. MRI,data/Dataset_Eval/PubMed_Pdfs/257.csv,pdf
What does a favorable histologic result include in children aged 1 and a half to 5 years of age according to the International Neuroblastoma Pathology Committee classification?,A. High mitosis-karyorrhexis index and undifferentiated tumor B. Low mitosis-karyorrhexis index and differentiated tumor C. High mitosis-karyorrhexis index and calcifications D. Low mitosis-karyorrhexis index and undifferentiated tumor E. Intermediate mitosis-karyorrhexis index and calcifications F. Intermediate mitosis-karyorrhexis index and undifferentiated tumor G. High mitosis-karyorrhexis index and differentiated tumor H. Low mitosis-karyorrhexis index and calcifications,B. Low mitosis-karyorrhexis index and differentiated tumor,data/Dataset_Eval/PubMed_Pdfs/258.csv,pdf
"Which stage in the International Neuroblastoma Risk Group Staging System (INRGSS) includes metastatic disease in children younger than 18 months with metastases confined to skin, liver, and/or bone marrow?",A. L1 B. L2 C. M D. MS E. N1 F. N2 G. T1 H. T2,D. MS,data/Dataset_Eval/PubMed_Pdfs/259.csv,pdf
What was the treatment strategy for very low-risk well-differentiated fetal hepatoblastoma (WDF HB) in the PHITT trial?,A. Chemotherapy alone B. Radiotherapy alone C. Upfront surgery without subsequent chemotherapy D. Chemotherapy followed by surgery E. Surgery followed by radiotherapy F. Immunotherapy alone G. Stem cell transplantation H. Targeted therapy,C. Upfront surgery without subsequent chemotherapy,data/Dataset_Eval/PubMed_Pdfs/260.csv,pdf
What immunohistochemical marker shows strong positivity in well-differentiated fetal hepatoblastoma (WDF HB)?,A. Alpha-fetoprotein (AFP) B. Glypican 3 (GPC3) C. Beta-catenin (b-cat) D. Glutamine synthetase (GS) E. Vimentin F. Cytokeratin 19 G. Cyclin D1 H. CD34,D. Glutamine synthetase (GS),data/Dataset_Eval/PubMed_Pdfs/261.csv,pdf
Which genetic mutation is most frequently found in hepatoblastomas (HB)?,A. BRCA1 B. EGFR C. ALK D. CTNNB1 E. TP53 F. KRAS G. NRAS H. PTEN,D. CTNNB1,data/Dataset_Eval/PubMed_Pdfs/262.csv,pdf
Which histologic subtype of hepatoblastoma (HB) shows a prominent ductular differentiation?,A. Macrotrabecular HB B. Embryonal HB C. Small cell undifferentiated HB D. Crowded fetal HB E. Mixed epithelial HB F. Cholangioblastic HB G. Pleomorphic epithelial HB,F. Cholangioblastic HB,data/Dataset_Eval/PubMed_Pdfs/263.csv,pdf
What is the typical clinical presentation of hepatoblastoma (HB) in children?,A. Jaundice and ascites B. Hepatosplenomegaly and weight loss C. Fever and night sweats D. Abdominal mass with protuberant abdomen E. Chronic diarrhea and vomiting F. Persistent cough and dyspnea G. Hematuria and flank pain H. Pallor and fatigue,D. Abdominal mass with protuberant abdomen,data/Dataset_Eval/PubMed_Pdfs/264.csv,pdf
Which genetic alteration is associated with high hyperdiploidy in childhood acute lymphoblastic leukemia (ALL)?,A. TP53 mutations B. IKZF1 deletions C. Ras pathway mutations D. KMT2A rearrangements E. ETV6-RUNX1 fusion F. JAK2 mutations G. FLT3 mutations H. USP7 mutations,C. Ras pathway mutations,data/Dataset_Eval/PubMed_Pdfs/265.csv,pdf
What is a common adverse effect associated with dexamethasone during remission-induction therapy?,A. Myocardial infarction B. Bone fracture C. Seizures D. Severe gastrointestinal bleeding E. Hyperthyroidism F. Renal failure G. Severe neutropenia H. Liver toxicity,B. Bone fracture,data/Dataset_Eval/PubMed_Pdfs/266.csv,pdf
"Which phase of acute lymphoblastic leukemia (ALL) therapy involves the administration of cyclophosphamide, cytarabine, and mercaptopurine?",A. Remission-induction therapy B. Consolidation therapy C. Maintenance therapy D. Reinduction therapy E. Pre-treatment phase F. Post-remission therapy G. Palliative care H. Diagnostic phase,B. Consolidation therapy,data/Dataset_Eval/PubMed_Pdfs/267.csv,pdf
Which clinical factor is considered an adverse prognostic factor in pediatric acute lymphoblastic leukemia (ALL)?,A. Age 1 to <10 years B. Female sex C. Low WBC (<50x10^9/ml) counts at diagnosis D. Presence of CNS involvement at diagnosis E. Positive ETV6-RUNX1 fusion F. Negative minimal residual disease (MRD) G. High hyperdiploidy H. Absence of KMT2A rearrangements,D. Presence of CNS involvement at diagnosis,data/Dataset_Eval/PubMed_Pdfs/268.csv,pdf
Which adverse effect is commonly associated with vincristine in acute lymphoblastic leukemia (ALL) therapy?,A. Peripheral sensory and motor neuropathy B. Severe gastrointestinal bleeding C. Myocardial infarction D. Severe neutropenia E. Hyperthyroidism F. Renal failure G. Liver toxicity H. Osteonecrosis,A. Peripheral sensory and motor neuropathy,data/Dataset_Eval/PubMed_Pdfs/269.csv,pdf
Which signaling pathway is commonly activated in T-acute lymphoblastic leukemia (ALL) due to mutations or deletions of PTEN?,A. JAK-STAT B. Ras/MAPK C. PI3K/AKT/mTOR D. Notch E. Wnt F. Hedgehog G. NF-kB H. TGF-beta,C. PI3K/AKT/mTOR,data/Dataset_Eval/PubMed_Pdfs/270.csv,pdf
Which drug is used to inhibit the BCR-ABL1 oncoprotein in Philadelphia chromosome-positive (Ph+) acute lymphoblastic leukemia (ALL)?,A. Lestaurtinib B. Venetoclax C. Crizotinib D. Dasatinib E. Pembrolizumab F. Alectinib G. Larotrectinib H. Blinatumomab,D. Dasatinib,data/Dataset_Eval/PubMed_Pdfs/271.csv,pdf
Which drug is used in combination with chemotherapy to treat patients with JAK-STAT pathway lesions in Ph-like acute lymphoblastic leukemia (ALL)?,A. Lestaurtinib B. Venetoclax C. Imatinib D. Dasatinib E. Ponatinib F. Ruxolitinib G. Larotrectinib H. Blinatumomab,F. Ruxolitinib,data/Dataset_Eval/PubMed_Pdfs/272.csv,pdf
Which gene polymorphism is associated with vincristine-induced peripheral neuropathy in children with acute lymphoblastic leukemia (ALL)?,A. HLA B. CPA2 C. SLCO1B1 D. CEP72 E. CBR F. ACP1 G. TP53 H. NUDT15,D. CEP72,data/Dataset_Eval/PubMed_Pdfs/273.csv,pdf
Which therapeutic agent can be pontentially used as a cardioprotectant during acute myeloid leukemia (AML) therapy?,A. Imatinib B. Doxorubicin C. Dexrazoxane D. Venetoclax E. Etoposide F. Methotrexate G. Gemtuzumab H. Clofazimine,C. Dexrazoxane,data/Dataset_Eval/PubMed_Pdfs/274.csv,pdf
"According to this document, what is the percentage of pediatric acute myeloid leukemia (AML) patients undergoing treatment with subsequent CNS relapse?",A. 35% B. 10-20% C. 20-30% D. 10-12%% E. 1-5% F. 5-6% G. 6-7% H. 7-8%,E. 1-5%,data/Dataset_Eval/PubMed_Pdfs/275.csv,pdf
Which adverse effect is particularly associated with high cumulative doses of anthracyclines in pediatric acute myeloid leukemia (AML) therapy?,A. Hepatotoxicity B. Nephrotoxicity C. Cardiotoxicity D. Neurotoxicity E. Pulmonary toxicity F. Gastrointestinal toxicity G. Endocrine toxicity H. Dermatologic toxicity,C. Cardiotoxicity,data/Dataset_Eval/PubMed_Pdfs/276.csv,pdf
Which genetic lesion is NOT associated with a poor prognosis in pediatric acute myeloid leukemia (AML)?,A. t(6;11) B. t(10;11) C. t(4;11) D. t(8;21) E. t(11;19) F. t(9;22) G. t(3;21) H. t(5;11),D. t(8;21),data/Dataset_Eval/PubMed_Pdfs/277.csv,pdf
Which thyroid function test is recommended for detecting primary congenital hypothyroidism (CH) during neonatal screening?,A. Total T3 B. Free T3 C. Total T4 D. Free T4 E. Thyroglobulin F. Reverse T3 G. Thyrotropin (TSH) H. Calcitonin,G. Thyrotropin (TSH),data/Dataset_Eval/PubMed_Pdfs/278.csv,pdf
What is the recommended starting dose of levothyroxine (LT4) for infants with severe congenital hypothyroidism (CH) according to this document?,A. 5-10 µg/kg per day B. 10-15 µg/kg per day C. 15-20 µg/kg per day D. 20-25 µg/kg per day E. 25-30 µg/kg per day F. 30-35 µg/kg per day G. 35-40 µg/kg per day H. 40-45 µg/kg per day,B. 10-15 µg/kg per day,data/Dataset_Eval/PubMed_Pdfs/279.csv,pdf
Which imaging technique is recommended for confirming the presence and location of the thyroid gland in neonates diagnosed with congenital hypothyroidism (CH)?,A. MRI B. CT scan C. Ultrasound (US) D. PET scan E. X-ray F. Scintigraphy G. SPECT H. Doppler ultrasound,C. Ultrasound (US),data/Dataset_Eval/PubMed_Pdfs/280.csv,pdf
What is the initial treatment goal for neonates with primary congenital hypothyroidism (CH) according to this document?,A. Rapid normalization of serum free T4 B. Rapid normalization of serum TSH C. Increase in body weight D. Decrease in heart rate E. Improvement in muscle tone F. Reduction in jaundice G. Increase in appetite H. Improvement in sleep patterns,B. Rapid normalization of serum TSH,data/Dataset_Eval/PubMed_Pdfs/281.csv,pdf
"Which genetic mutation is commonly associated with syndromic congenital hypothyroidism (CH) involving thyroid dysgenesis, cleft palate, and spiky hair?",A. FOXE1 B. NKX2-1 C. PAX8 D. DUOX2 E. TSHR F. SLC26A4 G. GNAS H. TG,A. FOXE1,data/Dataset_Eval/PubMed_Pdfs/282.csv,pdf
What is the recommended treatment approach for neonates diagnosed with severe central congenital hypothyroidism (CH)?,A. Immediate initiation of glucocorticoid therapy only B. Immediate initiation of LT4 treatment only C. Start glucocorticoid therapy followed by LT4 treatment D. Only observation without immediate treatment E. Increase dietary iodine intake F. Start LT4 treatment followed by glucocorticoid therapy G. Administration of thyroid hormone-binding globulin H. Delayed LT4 treatment until 6 months of age,C. Start glucocorticoid therapy followed by LT4 treatment,data/Dataset_Eval/PubMed_Pdfs/283.csv,pdf
"Which syndrome is associated with a combination of congenital hypothyroidism (CH), infant respiratory distress syndrome, and benign hereditary chorea?",A. Bamforth-Lazarus syndrome B. Pendred syndrome C. Alagille syndrome D. Williams-Beuren syndrome E. DiGeorge syndrome F. Kabuki syndrome G. Johanson-Blizzard syndrome H. Brain-Lung-Thyroid syndrome,H. Brain-Lung-Thyroid syndrome,data/Dataset_Eval/PubMed_Pdfs/284.csv,pdf
Which gene mutation is associated with Pendred syndrome in patients with congenital hypothyroidism (CH) and sensorineural hearing loss?,A. FOXE1 B. NKX2-1 C. PAX8 D. DUOX2 E. TSHR F. SLC26A4 G. GNAS H. TG,F. SLC26A4,data/Dataset_Eval/PubMed_Pdfs/285.csv,pdf
What is the significance of finding a low serum free T4 with a low or low-normal serum thyroid-stimulating hormome (TSH) in a neonate?,A. Primary CH B. Central CH C. Transient CH D. Subclinical hypothyroidism E. Hyperthyroidism F. Thyroid dysgenesis G. Thyroid hormone resistance H. Non-thyroidal illness,B. Central CH,data/Dataset_Eval/PubMed_Pdfs/286.csv,pdf
"Which syndrome is characterized by the combination of polyostotic fibrous dysplasia, café-au-lait skin pigmentation, and pseudo-precocious puberty?",A. Turner syndrome B. Klinefelter syndrome C. McCune-Albright syndrome D. Noonan syndrome E. Prader-Willi syndrome F. Williams-Beuren syndrome G. Down syndrome H. Triple A syndrome,C. McCune-Albright syndrome,data/Dataset_Eval/PubMed_Pdfs/287.csv,pdf
What is the common endocrine issue associated with Bardet-Biedl syndrome?,A. Hyperthyroidism B. Hypothyroidism C. Hypogonadotropic hypogonadism D. Hyperparathyroidism E. Pseudo-precocious puberty F. Hyperpituitarism G. Hyperinsulism H. Adrenal insufficiency,C. Hypogonadotropic hypogonadism,data/Dataset_Eval/PubMed_Pdfs/288.csv,pdf
Which endocrine disorder is often seen in patients with Prader-Willi syndrome?,A. Hyperthyroidism B. Short stature C. Nephrogenic diabetes insipidus D. Hypogonadotropic hypogonadism E. Hyperparathyroidism F. Central diabetes insipidus G. Hyperpituitarism H. Hyperadrenalism,D. Hypogonadotropic hypogonadism,data/Dataset_Eval/PubMed_Pdfs/289.csv,pdf
Which syndrome presents with adrenal insufficiency and requires lifelong monitoring and replacement therapy?,A. Williams-Beuren syndrome B. Turner syndrome C. Down syndrome D. Triple A syndrome E. Russell-Silver syndrome F. McCune-Albright syndrome G. Bardet-Biedl syndrome H. Klinefelter syndrome,D. Triple A syndrome,data/Dataset_Eval/PubMed_Pdfs/290.csv,pdf
Which adverse reaction is NOT associated with the DTPw vaccine?,A. Fever B. Local pain and redness C. Hyperpyrexia D. Convulsions E. Hypotonic-hyporesponsive episode F. Persistent inconsolable cry G. Severe allergic reactions requiring expert advice H. Guillain-Barré syndrome,H. Guillain-Barré syndrome,data/Dataset_Eval/PubMed_Pdfs/291.csv,pdf
"Which vaccine is specifically recommended for patients with asplenia, nephrotic syndrome, chronic illness, sickle cell disease, human immunodeficiency virus (HIV), and other immunodeficiency diseases?",A. BCG B. DTPw C. IPV D. MMR E. Pneumococcal Conjugate Vaccine (PCV) F. Hepatitis B G. Hib Conjugate Vaccine H. Rabies Vaccine,E. Pneumococcal Conjugate Vaccine (PCV),data/Dataset_Eval/PubMed_Pdfs/292.csv,pdf
Which of the following environmental factors has been associated with an increased risk for Attention deficit hyperactivity disorder (ADHD)?,A. Maternal smoking B. High birth weight C. Full-term birth D. Lack of zinc in diet E. Lack of iron in diet F. Maternal alcohol abstinence G. Normal birth weight H. High-sugar diet,A. Maternal smoking,data/Dataset_Eval/PubMed_Pdfs/293.csv,pdf
Which area of the brain was consistently found to have alterations in Attention deficit hyperactivity disorder (ADHD) according to meta-analyses of structural magnetic resonance imaging (MRI) studies according to this paper?,A. Basal ganglia B. Prefrontal cortex C. Occipital lobe D. Temporal lobe E. Hippocampus F. Amygdala G. Parietal lobe H. Cerebellum,A. Basal ganglia,data/Dataset_Eval/PubMed_Pdfs/294.csv,pdf
Which medication is considered the first-line treatment for Attention deficit hyperactivity disorder (ADHD)?,A. SSRIs B. Guanfacine C. Vareniciline D. Lisdexamfetamine E. Methylphenidate F. Clonidine G. Bupropion H. Modafinil,E. Methylphenidate,data/Dataset_Eval/PubMed_Pdfs/295.csv,pdf
What is the prevalence of Attention deficit hyperactivity disorder (ADHD) among children and adolescents according to the document?,A. 3% B. 5% C. 7% D. 10% E. 12% F. 15% G. 20% H. 25%,B. 5%,,
"According to the document, what is the age limit for Attention deficit hyperactivity disorder (ADHD) symptom onset according to the diagnostic criteria of DSM-5?",A. 5 years B. 6 years C. 7 years D. 8 years E. 10 years F. 12 years G. 14 years H. 16 years,F. 12 years,,
Which of the following neurotransmitter systems is implicated in Attention deficit hyperactivity disorder (ADHD) according to the document?,A. Serotonergic B. Cholinergic C. Dopaminergic D. GABAergic E. Glutamatergic F. Histaminergic G. Peptidergic H. Purinergic,C. Dopaminergic,,
Which brain network shows decreased activation with increasing attentional demands in Attention deficit hyperactivity disorder (ADHD)?,A. Cognitive control network B. Default mode network C. Ventral attention system D. Frontoparietal network E. Dorsolateral frontostriatal network F. Orbitomedial network G. Ventromedial network H. Limbic network,B. Default mode network,,
Which comorbid condition with Attention deficit hyperactivity disorder (ADHD) has an estimated prevalence of 70-85% according to the document?,A. Autism spectrum disorder B. Anxiety disorders C. Depression D. Tic disorders E. Obsessive-compulsive disorder F. Oppositional defiant disorder G. Conduct disorder H. Learning disorders,A. Autism spectrum disorder,,
What is the preferred front-line therapy for patients with metastatic non-small cell lung cancer (NSCLC) harboring sensitizing EGFR mutations?,A. Gefitinib B. Afatinib C. Erlotinib D. Osimertinib E. Dacomitinib F. Ramucirumab G. Brigatinib H. Ceritinib,D. Osimertinib,data/Dataset_Eval/PubMed_Pdfs/301.csv,pdf
